Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3,WT/rim15KO_C_T00_R1,WT/rim15KO_C_T00_R2,WT/rim15KO_C_T00_R3,WT/rim15KO_C_T06_R1,WT/rim15KO_C_T06_R2,WT/rim15KO_C_T06_R3,WT/rim15KO_C_T16_R1,WT/rim15KO_C_T16_R2,WT/rim15KO_C_T16_R3,WT/rim15KO_C_T30_R1,WT/rim15KO_C_T30_R2,WT/rim15KO_C_T30_R3,WT/rim15KO_P_T00_R1,WT/rim15KO_P_T00_R2,WT/rim15KO_P_T00_R3,WT/rim15KO_P_T06_R1,WT/rim15KO_P_T06_R2,WT/rim15KO_P_T06_R3,WT/rim15KO_P_T16_R1,WT/rim15KO_P_T16_R2,WT/rim15KO_P_T16_R3,WT/rim15KO_P_T30_R1,WT/rim15KO_P_T30_R2,WT/rim15KO_P_T30_R3
Q99297,Mitochondrial 2-oxodicarboxylate carrier 2,ODC2,sp|Q99297|ODC2_YEAST Mitochondrial 2-oxodicarboxylate carrier 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ODC2 PE=1 SV=1,0.95915,1.0262,1.1897,1.3302,1.3045,1.6097,2.4042,1.8554,2.5589,1.981,NaN,2.1198,0.95915,0.66044,1.1897,NaN,0.86987,1.2152,0.61888,0.76265,NaN,0.7298,NaN,NaN,0.7166,0.66044,1.1146,1.1233,1.2966,1.5962,1.2658,1.193,1.412,1.1097,NaN,1.2971,0.7166,1.0262,1.1146,NaN,0.86181,1.0468,0.47092,0.64631,NaN,0.45582,NaN,NaN,0.74015,0.65505,0.9131,0.77112,1.0288,1.0043,0.53143,0.70485,0.57157,0.61303,NaN,0.6417,0.74015,1.5266010228226852,0.9131,NaN,1.0461454769900302,0.94401,0.81379,0.8122816992933148,NaN,0.6937,NaN,NaN
Q99288,Broad-range acid phosphatase DET1,DET1,sp|Q99288|DET1_YEAST Broad-range acid phosphatase DET1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DET1 PE=1 SV=1,1.027,NaN,1.0408,NaN,NaN,1.3917,1.9006,1.9099,1.9906,1.9463,NaN,NaN,1.027,NaN,1.0408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.90639,NaN,0.8559,NaN,0.88389,NaN,NaN,0.98657,1.5224,1.0789,1.2636,1.2166,NaN,NaN,0.8559,NaN,0.88389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1692,NaN,0.91335,NaN,0.96815,NaN,NaN,0.73111,0.74371,0.64259,0.75981,0.73057,NaN,NaN,0.91335,NaN,0.96815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1992276973628984,NaN
Q99287,Protein SEY1,SEY1,sp|Q99287|SEY1_YEAST Protein SEY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEY1 PE=1 SV=1,0.89351,0.95249,0.90033,1.3859,1.1009,1.1318,1.5318,1.4259,1.2031,1.2372,1.5386,1.1802,0.89351,0.90144,0.90033,1.0578,0.93922,0.94017,NaN,0.62608,0.73158,0.7825,0.63951,0.57029,0.99594,0.90144,1.013,0.88685,1.0298,1.1043,1.0576,0.99174,0.99957,1.0881,0.90565,0.9161,0.99594,0.95249,1.013,0.75881,1.0941,1.0031,NaN,0.83924,0.76189,0.48851,0.8114,0.62365,1.0628,0.92361,1.0696,0.69823,0.81515,1.0571,0.77625,0.74209,0.8226,0.83699,0.6783,0.79217,1.0628,1.0827080694232414,1.0696,0.78938,1.0382814365661956,1.0502,NaN,1.2754613981607847,1.0566,0.59587,1.1393544417732913,1.015
Q99271,Na(+)/H(+) antiporter,NHA1,sp|Q99271|NAH1_YEAST Na(+)/H(+) antiporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NHA1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99260,GTP-binding protein YPT6,YPT6,sp|Q99260|YPT6_YEAST GTP-binding protein YPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT6 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4796,1.3411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2088,1.5254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.818464560484531,1.0269,NaN,NaN,NaN,NaN,NaN,NaN
Q99258,"3,4-dihydroxy-2-butanone 4-phosphate synthase",RIB3,"sp|Q99258|RIB3_YEAST 3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIB3 PE=1 SV=1",1.1129,0.95811,1.0679,0.91973,0.97354,0.86119,0.90095,1.1172,1.0889,1.1102,0.93671,0.8724,1.1129,1.1662,1.0679,0.93315,1.0049,0.92004,0.92627,1.0451,0.89138,0.76288,0.99537,0.82201,0.98421,1.1662,0.73786,0.87518,0.89338,0.80354,0.91575,0.91411,0.74916,1.0023,0.92243,0.80546,0.98421,0.95811,0.73786,1.0043,0.75901,0.81951,0.95036,0.84704,0.78605,0.83172,0.66529,0.72723,0.86853,1.2163,0.71829,0.9276,1.0307,1.0152,0.98344,0.86186,0.72791,0.87629,1.0417,0.95222,0.86853,0.8221655841486476,0.71829,0.95225,0.7896399241945673,0.95213,0.9614,0.7722604062089737,0.81093,1.1448,0.7124536905101169,0.84245
Q99257,mRNA export factor MEX67,MEX67,sp|Q99257|MEX67_YEAST mRNA export factor MEX67 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MEX67 PE=1 SV=1,0.97371,0.99982,1.0237,1.0473,0.96786,1.1835,0.97999,0.80195,0.88947,1.0095,NaN,0.62541,0.97371,0.95529,1.0237,0.96562,0.97176,0.98456,0.81588,0.73935,0.89012,0.80658,0.79446,0.7894,0.97516,0.95529,0.91941,1.0191,2.1297,0.84358,0.77221,1.0683,1.7509,0.71018,NaN,0.83598,0.97516,0.99982,0.91941,0.88565,0.81375,0.99539,0.67792,0.7373,0.88327,0.78381,0.79955,0.94771,0.94453,0.93375,0.88837,0.9929,2.1563,0.69172,0.76495,1.2809,1.6793,0.97499,NaN,1.2806,0.94453,1.07095046854083,0.88837,1.1739,0.8491126772522714,0.99548,0.87901,1.0941876750700281,1.0165,1.0291,1.0114598399870534,1.0828
Q99252,Protein ECM3,ECM3,sp|Q99252|ECM3_YEAST Protein ECM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99247,Uncharacterized WD repeat-containing protein YOL087C,Uncharacterized WD repeat-containing protein YOL087C,sp|Q99247|YO087_YEAST Uncharacterized WD repeat-containing protein YOL087C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOL087C PE=1 SV=1,0.75221,1.0431,0.9159,0.91519,1.2819,0.97772,NaN,NaN,NaN,NaN,NaN,NaN,0.75221,0.83784,0.9159,NaN,NaN,NaN,1.0176,0.72246,NaN,0.87785,NaN,NaN,1.0026,0.83784,0.92266,0.95906,1.047,0.89762,NaN,NaN,NaN,NaN,NaN,NaN,1.0026,1.0431,0.92266,NaN,NaN,NaN,0.98409,1.0036,NaN,NaN,NaN,NaN,0.98063,0.9237,0.94543,1.1172,1.0886,1.0254,NaN,NaN,NaN,NaN,NaN,NaN,0.98063,1.0826025765941323,0.94543,NaN,NaN,NaN,0.7571,1.2625784376854412,NaN,0.63756,NaN,NaN
Q99234,Protein DFG16,DFG16,sp|Q99234|DFG16_YEAST Protein DFG16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DFG16 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99231,Transposon Ty1-DR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-DR3,sp|Q99231|YD12B_YEAST Transposon Ty1-DR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR3 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99222,ARF3-interacting protein 1,AFI1,sp|Q99222|AFI1_YEAST ARF3-interacting protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AFI1 PE=1 SV=1,NaN,0.67328,0.29424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4621,0.29424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4621,1.0785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67328,1.0785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9434,3.3257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5145621076463929,3.3257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99216,Pre-rRNA-processing protein PNO1,PNO1,sp|Q99216|PNO1_YEAST Pre-rRNA-processing protein PNO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PNO1 PE=1 SV=1,0.97681,1.0041,0.89164,NaN,NaN,0.38158,NaN,NaN,NaN,NaN,NaN,NaN,0.97681,0.92081,0.89164,NaN,NaN,NaN,0.21374,NaN,NaN,NaN,NaN,NaN,0.96564,0.92081,0.94204,NaN,NaN,0.26247,NaN,NaN,NaN,NaN,NaN,NaN,0.96564,1.0041,0.94204,NaN,NaN,NaN,0.1799,NaN,NaN,NaN,NaN,NaN,0.95355,0.93694,1.0556,NaN,NaN,0.69092,NaN,NaN,NaN,NaN,NaN,NaN,0.95355,1.0673042030439517,1.0556,NaN,NaN,NaN,1.1621,NaN,NaN,NaN,NaN,NaN
Q99210,Maf-like protein YOR111W,Maf-like protein YOR111W,sp|Q99210|NTPPA_YEAST dTTP/UTP pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOR111W PE=1 SV=1,0.84713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.84713,NaN,NaN,NaN,1.1506,1.1017,1.0342,1.0769,0.91517,NaN,0.83109,0.88104,0.92575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.92575,NaN,NaN,NaN,0.98973,1.3116,0.87832,1.1122,0.75755,NaN,0.98887,0.8914,1.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.351,NaN,NaN,NaN,0.8248102936324646,1.1989,0.87027,1.021815766617279,0.82928,NaN,1.2012444892909053,1.0325
Q99207,Nucleolar complex protein 14,NOP14,sp|Q99207|NOP14_YEAST Nucleolar complex protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP14 PE=1 SV=1,0.98869,1.0542,1.0566,0.95576,0.97867,0.68463,NaN,NaN,NaN,NaN,NaN,NaN,0.98869,0.80224,1.0566,0.54721,NaN,0.46672,NaN,NaN,NaN,NaN,NaN,NaN,1.0346,0.80224,1.0588,0.92643,0.73534,0.79471,NaN,NaN,NaN,NaN,NaN,NaN,1.0346,1.0542,1.0588,0.64402,NaN,0.85316,NaN,NaN,NaN,NaN,NaN,NaN,0.91792,0.82051,1.0887,1.1026,0.79233,0.99978,NaN,NaN,NaN,NaN,NaN,NaN,0.91792,1.2187541894675264,1.0887,1.1143,NaN,1.2371,NaN,NaN,NaN,NaN,NaN,NaN
Q99186,AP-2 complex subunit mu,APM4,sp|Q99186|AP2M_YEAST AP-2 complex subunit mu OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APM4 PE=1 SV=1,0.99932,0.90789,0.84833,1.0434,0.95827,1.143,NaN,NaN,NaN,NaN,NaN,NaN,0.99932,1.0061,0.84833,NaN,NaN,NaN,NaN,NaN,0.91436,NaN,NaN,NaN,1.0858,1.0061,1.1417,1.2603,1.0829,1.2671,NaN,NaN,NaN,NaN,NaN,NaN,1.0858,0.90789,1.1417,NaN,NaN,NaN,NaN,NaN,0.9404,NaN,NaN,NaN,1.0655,0.97378,1.3148,1.2132,1.2594,1.1316,NaN,NaN,NaN,NaN,NaN,NaN,1.0655,1.0269259997124607,1.3148,NaN,NaN,NaN,NaN,NaN,0.96465,NaN,NaN,NaN
